actor_1_name,actor_2_name,actor_1_facebook_likes,actor_2_facebook_likes
Bingbing Li,Sophia Myles,974.0,956.0
Tim Holmes,Mila Kunis,44000.0,15000.0
Emma Stone,Andrew Garfield,15000.0,10000.0
Jeff Bridges,Olivia Wilde,12000.0,10000.0
Joe Mantegna,Thomas Kretschmann,1000.0,919.0
Ryan Reynolds,Temuera Morrison,16000.0,368.0
Tom Hanks,John Ratzenberger,15000.0,1000.0
Christian Bale,Bryce Dallas Howard,23000.0,3000.0
Jason Statham,Paul Walker,26000.0,23000.0
Peter Capaldi,Brad Pitt,17000.0,11000.0
Jennifer Lawrence,Peter Dinklage,34000.0,22000.0
Benedict Cumberbatch,Bruce Greenwood,19000.0,981.0
Eddie Marsan,Ewen Bremner,979.0,557.0
Leonardo DiCaprio,Elizabeth Debicki,29000.0,509.0
Jake Gyllenhaal,Richard Coyle,15000.0,567.0
Charlie Hunnam,Clifton Collins Jr.,16000.0,968.0
Glenn Morshower,Lester Speight,894.0,829.0
Harrison Ford,Ray Winstone,11000.0,1000.0
A.J. Buckley,Jack McGraw,275.0,150.0
Kelly Macdonald,John Ratzenberger,2000.0,1000.0
Sofia Boutella,Melissa Roxburgh,998.0,119.0
John Ratzenberger,Fred Willard,1000.0,729.0
Tzi Ma,Dana Ivey,268.0,268.0
Oliver Platt,Liam James,1000.0,468.0
Robin Wright,Colin Firth,18000.0,14000.0
Channing Tatum,Mila Kunis,17000.0,15000.0
Christoph Waltz,Alexander Skarsgård,11000.0,10000.0
Jim Broadbent,Kiran Shah,1000.0,190.0
Jennifer Lawrence,Michael Fassbender,34000.0,13000.0
Christian Bale,Heath Ledger,23000.0,13000.0
John Ratzenberger,Delroy Lindo,1000.0,848.0
Amy Poehler,Rainn Wilson,1000.0,973.0
Robert Downey Jr.,Jeff Bridges,21000.0,12000.0
Chloë Grace Moretz,Christopher Lee,17000.0,16000.0
Will Smith,Salma Hayek,10000.0,4000.0
Jet Li,Brendan Fraser,5000.0,3000.0
Will Smith,Robin Atkin Downes,10000.0,336.0
Jimmy Bennett,Morgan Freeman,87000.0,11000.0
Tom Cruise,Lara Pulver,10000.0,854.0
Jeanne Tripplehorn,Rick Aviles,711.0,60.0
Joseph Gordon-Levitt,Dennis Quaid,23000.0,2000.0
Amy Poehler,Mindy Kaling,1000.0,767.0
Scarlett Johansson,Bill Murray,19000.0,13000.0
Robert Downey Jr.,Scarlett Johansson,21000.0,19000.0
Chris Hemsworth,Kristen Stewart,26000.0,17000.0
Angelina Jolie Pitt,Sharlto Copley,11000.0,2000.0
Gary Oldman,Judy Greer,10000.0,2000.0
Tamsin Egerton,Alice Englert,622.0,525.0
Keanu Reeves,Cary-Hiroyuki Tagawa,18000.0,1000.0
Scarlett Johansson,Chris Evans,19000.0,11000.0
Jon Hamm,Kathy Griffin,4000.0,225.0
Judy Greer,Chris Bauer,2000.0,638.0
Damon Wayans Jr.,Daniel Henney,756.0,719.0
Jack McBrayer,Sarah Silverman,975.0,931.0
Tom Hanks,Eddie Deezen,15000.0,726.0
Vivica A. Fox,Sela Ward,890.0,812.0
Gerard Butler,America Ferrera,18000.0,953.0
Nick Stahl,M.C. Gainey,648.0,284.0
Bradley Cooper,Vin Diesel,14000.0,14000.0
Matthew McConaughey,Anne Hathaway,11000.0,11000.0
Leonardo DiCaprio,Tom Hardy,29000.0,27000.0
Mark Chinnery,Shin'ya Tsukamoto,544.0,106.0
Aidan Turner,Adam Brown,5000.0,972.0
Paul Walker,Vin Diesel,23000.0,14000.0
Brad Pitt,Jason Flemyng,11000.0,1000.0
Jennifer Lawrence,Michael Fassbender,34000.0,13000.0
Jennifer Lawrence,Philip Seymour Hoffman,34000.0,22000.0
Nicolas Cage,Omar Benson Miller,12000.0,418.0
Jimmy Bennett,Mike Vogel,87000.0,2000.0
Johnny Depp,Alan Rickman,40000.0,25000.0
Justin Timberlake,Eric Idle,3000.0,795.0
Dominic Cooper,Callum Rennie,3000.0,716.0
J.K. Simmons,Emilia Clarke,24000.0,10000.0
Bruce Spence,Shane Rangi,531.0,82.0
Jennifer Garner,Jaime King,3000.0,961.0
Zack Ward,Michael O'Neill,662.0,599.0
Anthony Hopkins,Angelina Jolie Pitt,12000.0,11000.0
Robert Pattinson,Daniel Radcliffe,21000.0,11000.0
Robert Pattinson,Daniel Radcliffe,21000.0,11000.0
Will Smith,Charlize Theron,10000.0,9000.0
Will Smith,Alice Braga,10000.0,1000.0
Johnny Depp,Christopher Lee,40000.0,16000.0
Janeane Garofalo,John Ratzenberger,1000.0,1000.0
Christian Bale,Liam Neeson,23000.0,14000.0
Bernie Mac,Jada Pinkett Smith,1000.0,851.0
Robin Williams,Rami Malek,49000.0,3000.0
Hugh Jackman,Ryan Reynolds,20000.0,16000.0
Essie Davis,Collin Chou,309.0,269.0
Josh Gad,Maurice LaMarche,1000.0,523.0
Steve Bastoni,Daniel Bernhardt,234.0,198.0
Chris Hemsworth,Natalie Portman,26000.0,20000.0
Tom Hardy,Charlize Theron,27000.0,9000.0
Tom Hanks,Ayelet Zurer,15000.0,745.0
Chris Hemsworth,Natalie Portman,26000.0,20000.0
Chloë Grace Moretz,Diedrich Bader,17000.0,759.0
Kelli Garner,Piper Mackenzie Harris,730.0,607.0
Liam Neeson,Edgar Ramírez,14000.0,897.0
Johnny Depp,Chloë Grace Moretz,40000.0,17000.0
Tom Cruise,Jeremy Renner,10000.0,10000.0
Anthony Hopkins,Simon Merrells,12000.0,490.0
Christoph Waltz,Alexander Skarsgård,11000.0,10000.0
Matthew Broderick,Oprah Winfrey,2000.0,852.0
Angelina Jolie Pitt,Gary Oldman,11000.0,10000.0
Seychelle Gabriel,Noah Ringer,1000.0,756.0
Philip Seymour Hoffman,Tom Cruise,22000.0,10000.0
Channing Tatum,Jake Weber,17000.0,551.0
Elisabeth Harnois,Dan Fogler,921.0,562.0
Hugh Jackman,Kate Winslet,20000.0,14000.0
Hugh Jackman,Cara Delevingne,20000.0,548.0
Ty Burrell,Zach Callison,3000.0,1000.0
Brad Pitt,Orlando Bloom,11000.0,5000.0
Jada Pinkett Smith,Martin Short,851.0,770.0
Toby Stephens,Colin Salmon,769.0,766.0
Ed Begley Jr.,Kate McKinnon,783.0,370.0
Bruce Willis,Steve Buscemi,13000.0,12000.0
Will Smith,Rosario Dawson,10000.0,3000.0
Robin Wright,Anthony Hopkins,18000.0,12000.0
J.K. Simmons,Angelina Jolie Pitt,24000.0,11000.0
Tom Cruise,Jeremy Renner,10000.0,10000.0
Hugh Jackman,Kamil McFadden,20000.0,315.0
John Michael Higgins,Richard Burgi,957.0,550.0
Tom Cruise,Tony Goldwyn,10000.0,956.0
Christian Bale,María Valverde,23000.0,893.0
Chris Hemsworth,Leonard Nimoy,26000.0,12000.0
J.K. Simmons,James Franco,24000.0,11000.0
Gerard Butler,Djimon Hounsou,18000.0,3000.0
Gerard Butler,Elodie Yung,18000.0,934.0
Sam Shepard,Joe Morton,820.0,780.0
Matt Frewer,Billy Crudup,986.0,745.0
Jet Li,Rene Russo,5000.0,808.0
Kevin Rankin,Regi Davis,820.0,300.0
Channing Tatum,Dwayne Johnson,17000.0,12000.0
Matthew McConaughey,Rainn Wilson,11000.0,973.0
Steve Buscemi,Ming-Na Wen,12000.0,2000.0
Chris Evans,Dominic Cooper,11000.0,3000.0
Colin Salmon,Maria Grazia Cucinotta,766.0,536.0
James D'Arcy,Lee Ingleby,613.0,172.0
Robert Pattinson,Kristen Stewart,21000.0,17000.0
Robin Williams,Brad Pitt,49000.0,11000.0
Ty Burrell,Peter Mensah,3000.0,1000.0
Don Johnson,Philip Michael Thomas,982.0,321.0
Mark Rylance,Penelope Wilton,535.0,400.0
Leonardo DiCaprio,Tom Hardy,29000.0,27000.0
Ryan Reynolds,Snoop Dogg,16000.0,881.0
Johnny Depp,Ray Winstone,40000.0,1000.0
Benedict Cumberbatch,Annet Mahendru,19000.0,411.0
Matt Damon,Edgar Ramírez,13000.0,897.0
Angelina Jolie Pitt,Wayne Knight,11000.0,967.0
Judy Greer,Hayley Atwell,2000.0,2000.0
Jennifer Lawrence,Josh Hutcherson,34000.0,14000.0
Robert Pattinson,Kristen Stewart,21000.0,17000.0
Jim Parsons,Matt Jones,17000.0,523.0
Tom Cruise,Lisa Ann Walter,10000.0,1000.0
Will Smith,Henry Rollins,10000.0,898.0
Salma Hayek,Constance Marie,4000.0,442.0
Angelina Jolie Pitt,Andre Braugher,11000.0,702.0
Anthony Hopkins,Emma Watson,12000.0,9000.0
Toby Jones,Mackenzie Crook,2000.0,871.0
Daniel Radcliffe,Gary Oldman,11000.0,10000.0
Essie Davis,Bryan Brown,309.0,284.0
Will Smith,Zoë Kravitz,10000.0,943.0
Alfre Woodard,D.B. Sweeney,1000.0,558.0
Rupert Grint,Dave Legeno,10000.0,570.0
Robin Williams,Rami Malek,49000.0,3000.0
J.K. Simmons,Brad Pitt,24000.0,11000.0
Daniel Radcliffe,Fiona Shaw,11000.0,687.0
Ryan Reynolds,Jeff Bridges,16000.0,12000.0
Mark Chinnery,Shin'ya Tsukamoto,544.0,106.0
Johnny Depp,Orlando Bloom,40000.0,5000.0
Rupert Grint,Toby Jones,10000.0,2000.0
Jennifer Lawrence,Philip Seymour Hoffman,34000.0,22000.0
Tom Hanks,Seth Gabel,15000.0,574.0
Miguel Ferrer,Rachel Crow,688.0,237.0
Hugh Jackman,Bruce Davison,20000.0,505.0
Paul Walker,Vin Diesel,23000.0,14000.0
Robert Downey Jr.,Eddie Marsan,21000.0,979.0
Liam Neeson,Jason Flemyng,14000.0,1000.0
Ronny Cox,Rachel Ticotin,605.0,308.0
Tony Curran,Vladimir Kulich,845.0,372.0
Jeremy Renner,Scott Glenn,10000.0,826.0
Michael Gough,Vivica A. Fox,920.0,890.0
Clint Howard,T.J. Thyne,1000.0,722.0
Jake Gyllenhaal,Dennis Quaid,15000.0,2000.0
Tom Cruise,Dougray Scott,10000.0,794.0
Karen Allen,Mary Elizabeth Mastrantonio,784.0,638.0
Chris Evans,Ioan Gruffudd,11000.0,2000.0
Suraj Sharma,Rafe Spall,774.0,358.0
Nicolas Cage,Matt Long,12000.0,701.0
Matt Damon,Riz Ahmed,13000.0,365.0
Demi Moore,Bernie Mac,2000.0,1000.0
Michael Fassbender,Charlize Theron,13000.0,9000.0
Nathan Lane,Brad Garrett,886.0,799.0
Matt Damon,Sharlto Copley,13000.0,2000.0
Vin Diesel,Alexa Davalos,14000.0,850.0
Gary Oldman,Abbie Cornish,10000.0,2000.0
Scott Porter,Kick Gurry,690.0,107.0
Shelley Conn,Domenick Lombardozzi,273.0,216.0
Tom Cruise,Marc Blucas,10000.0,973.0
Morgan Freeman,Tom Cruise,11000.0,10000.0
Natalie Portman,Christopher Lee,20000.0,16000.0
Natalie Portman,Christopher Lee,20000.0,16000.0
Steve Buscemi,John Ratzenberger,12000.0,1000.0
Hugh Jackman,Tao Okamoto,20000.0,992.0
Natalie Portman,Liam Neeson,20000.0,14000.0
Ryan Reynolds,Emma Stone,16000.0,15000.0
Alain Delon,Santiago Segura,936.0,276.0
Nicolas Cage,Roger Willie,12000.0,836.0
Chris Hemsworth,Sam Claflin,26000.0,11000.0
Noel Fisher,Danny Woodburn,833.0,809.0
Phaldut Sharma,Basher Savage,39.0,23.0
Jamie Renée Smith,Grant Heslov,650.0,293.0
Stephen Amell,Noel Fisher,5000.0,833.0
Tim Blake Nelson,Reg E. Cathey,596.0,360.0
Robin Williams,Rami Malek,49000.0,3000.0
Dwayne Johnson,Ioan Gruffudd,12000.0,2000.0
Vincent Schiavelli,Colin Salmon,811.0,766.0
Heath Ledger,Adam Baldwin,13000.0,2000.0
Brad Pitt,Julia Roberts,11000.0,8000.0
Brad Pitt,Angelina Jolie Pitt,11000.0,11000.0
Kate Winslet,Theo James,14000.0,5000.0
Leonardo DiCaprio,Adam Scott,29000.0,3000.0
James Corden,Catherine Tate,480.0,392.0
Christoph Waltz,Tom Wilkinson,11000.0,1000.0
George Peppard,Dirk Benedict,669.0,554.0
Eva Green,Sullivan Stapleton,6000.0,1000.0
Mahadeo Shivraj,Tim Gunn,383.0,113.0
Steve Buscemi,Roseanne Barr,12000.0,513.0
Naomi Watts,Theo James,6000.0,5000.0
Hugh Jackman,Torey Michael Adkins,20000.0,929.0
Jacob Tremblay,Nancy O'Dell,681.0,71.0
Jason Patric,Temuera Morrison,673.0,368.0
Harrison Ford,Moises Arias,11000.0,635.0
Bruce Willis,Jonathan Sadowski,13000.0,300.0
Christopher Lee,Orlando Bloom,16000.0,5000.0
Jim Broadbent,Steve Coogan,1000.0,1000.0
Will Smith,Jada Pinkett Smith,10000.0,851.0
Sean Hayes,Kelly Preston,760.0,743.0
Will Smith,Bruce Greenwood,10000.0,981.0
Liam Neeson,Orlando Bloom,14000.0,5000.0
Chazz Palminteri,Nathan Lane,979.0,886.0
Oprah Winfrey,Jenifer Lewis,852.0,578.0
Matt Damon,Donald Glover,13000.0,801.0
Mathew Buck,,5.0,
Scarlett Johansson,Steve Buscemi,19000.0,12000.0
Del Zamora,Warren Beatty,752.0,631.0
Nicolas Cage,Angelina Jolie Pitt,12000.0,11000.0
Djimon Hounsou,Connie Nielsen,3000.0,933.0
Tom Cruise,Frank Grillo,10000.0,798.0
Daniel Radcliffe,Rupert Grint,11000.0,10000.0
Eva Green,Tobias Menzies,6000.0,1000.0
Cary-Hiroyuki Tagawa,Estella Warren,1000.0,658.0
Joe Morton,Jenette Goldstein,780.0,604.0
Johnny Depp,Christian Bale,40000.0,23000.0
Denzel Washington,Ruby Dee,18000.0,782.0
Jamie Lee Curtis,Tia Carrere,2000.0,1000.0
Denzel Washington,Ramon Rodriguez,18000.0,464.0
Robert De Niro,Blythe Danner,22000.0,713.0
Dwayne Johnson,Will Ferrell,12000.0,8000.0
Vanessa Williams,James Coburn,1000.0,773.0
Leonardo DiCaprio,Christoph Waltz,29000.0,11000.0
Demi Moore,Jason Alexander,2000.0,700.0
Eartha Kitt,Wendie Malick,558.0,452.0
Jason Statham,Sylvester Stallone,26000.0,13000.0
Nicolas Cage,Armando Riesco,12000.0,625.0
Djimon Hounsou,Ed Speleers,3000.0,762.0
Catherine O'Hara,Ryan Corr,925.0,468.0
Hugh Jackman,Cara Delevingne,20000.0,548.0
Josh Hutcherson,Emma Kenney,14000.0,151.0
Johnny Depp,Angelina Jolie Pitt,40000.0,11000.0
CCH Pounder,Mark Margolis,1000.0,1000.0
Leonardo DiCaprio,Djimon Hounsou,29000.0,3000.0
Leonardo DiCaprio,Matthew McConaughey,29000.0,11000.0
Michael Gough,Rene Auberjonois,920.0,710.0
Jake Busey,Patrick Muldoon,660.0,475.0
Tom Hanks,Jim Sturgess,15000.0,5000.0
Abbie Cornish,Richard Roxburgh,2000.0,653.0
Frances Conroy,Christopher Heyerdahl,827.0,825.0
Dwayne Johnson,Rufus Sewell,12000.0,3000.0
Joseph Gordon-Levitt,Martin Short,23000.0,770.0
Will Ferrell,Anna Friel,8000.0,735.0
Jason Statham,Sylvester Stallone,26000.0,13000.0
Ray Winstone,Edgar Ramírez,1000.0,897.0
Jamie Kennedy,Traylor Howard,490.0,294.0
Chris Hemsworth,Benjamin Walker,26000.0,911.0
Rosario Dawson,Randy Quaid,3000.0,695.0
Matt Damon,Sean Huze,13000.0,537.0
Francesca Capaldi,Venus Schultheis,144.0,42.0
Ben Gazzara,Felicity Huffman,623.0,508.0
Dwayne Johnson,Brendan Fraser,12000.0,3000.0
Leonardo DiCaprio,Liam Neeson,29000.0,14000.0
Christian Bale,Ni Ni,23000.0,196.0
Jeff Bridges,Zooey Deschanel,12000.0,11000.0
Jon Lovitz,Matthew Broderick,11000.0,2000.0
Ioan Gruffudd,Sam Shepard,2000.0,820.0
Will Ferrell,Thomas Middleditch,8000.0,331.0
Milla Jovovich,Bruce Willis,14000.0,13000.0
Chris Noth,Liza Minnelli,962.0,740.0
Frank Welker,Rosie Perez,2000.0,919.0
Peter Dinklage,Josh Gad,22000.0,1000.0
Hayley Atwell,Derek Jacobi,2000.0,520.0
Michael Imperioli,AJ Michalka,873.0,560.0
Alexander Gould,Stephen Root,1000.0,939.0
Orlando Bloom,Billy Boyd,5000.0,857.0
Christopher Lee,Orlando Bloom,16000.0,5000.0
Jeff Bridges,Djimon Hounsou,12000.0,3000.0
Angelina Jolie Pitt,Noah Taylor,11000.0,509.0
Johnny Depp,Morgan Freeman,40000.0,11000.0
Michael Jeter,Trevor Morgan,693.0,595.0
James Franco,David Oyelowo,11000.0,1000.0
Martin Short,Tod Fennell,770.0,419.0
Bruce Willis,Cole Hauser,13000.0,787.0
Dennis Quaid,Marc Blucas,2000.0,973.0
Holly Hunter,Craig T. Nelson,1000.0,723.0
Christopher Masterson,Frank Langella,1000.0,903.0
Logan Lerman,Rosario Dawson,8000.0,3000.0
Will Smith,Rip Torn,10000.0,826.0
Tom Hanks,John Ratzenberger,15000.0,1000.0
Denzel Washington,Rosario Dawson,18000.0,3000.0
Mei Melançon,John Lone,191.0,165.0
Harrison Ford,Amber Valletta,11000.0,627.0
Will Forte,Bobb'e J. Thompson,622.0,526.0
Denis Leary,Maile Flanagan,835.0,256.0
Adam Scott,Adrian Martinez,3000.0,806.0
Bill Murray,LL Cool J,13000.0,1000.0
Leonardo DiCaprio,Matt Damon,29000.0,13000.0
Ming-Na Wen,Harvey Fierstein,2000.0,500.0
Robert Downey Jr.,Steve Coogan,21000.0,1000.0
Robin Wright,Goran Visnjic,18000.0,1000.0
Bruce Willis,Aldis Hodge,13000.0,559.0
Robert Downey Jr.,Eddie Marsan,21000.0,979.0
Morgan Freeman,Ayelet Zurer,11000.0,745.0
Leonard Nimoy,Jim Varney,12000.0,802.0
Bella Thorne,Joshua Mikel,35000.0,1000.0
Tom Cruise,Tom Wilkinson,10000.0,1000.0
Adam Sandler,Sayed Badreya,11000.0,600.0
Peter Dinklage,Adam Sandler,22000.0,11000.0
Haley Joel Osment,William Hurt,3000.0,882.0
Marsha Thomason,Rachael Harris,691.0,569.0
Matthew McConaughey,Tom Skerritt,11000.0,1000.0
Greg Grunberg,Kim Dickens,833.0,624.0
Curtiss Cook,George Harris,591.0,249.0
Logan Lerman,Leven Rambin,8000.0,956.0
Gerard Butler,Angelina Jolie Pitt,18000.0,11000.0
Daniel Radcliffe,Morgan Freeman,11000.0,11000.0
Alun Armstrong,Michael Byrne,192.0,117.0
Brad Pitt,Stephen Dillane,11000.0,577.0
Don Cheadle,Connie Nielsen,3000.0,933.0
Anne Hathaway,Wanda Sykes,11000.0,560.0
Robin Williams,Oliver Platt,49000.0,1000.0
Don Cheadle,Anne Heche,3000.0,643.0
Harrison Ford,Brad Pitt,11000.0,11000.0
Liam Neeson,Christian Camargo,14000.0,602.0
Tim Blake Nelson,Reg E. Cathey,596.0,360.0
William Smith,Mako,919.0,691.0
Paddy Considine,Bruce McGill,680.0,655.0
Shirley Henderson,Nathan Lane,887.0,886.0
Jeff Bridges,Michael Angarano,12000.0,947.0
Philip Seymour Hoffman,Alan Ruck,22000.0,946.0
Paul Walker,Vin Diesel,23000.0,14000.0
Tom Hanks,Paul Sanchez,15000.0,410.0
Robin Williams,Hugh Jackman,49000.0,20000.0
Matt Damon,Joan Allen,13000.0,805.0
Harrison Ford,Gary Oldman,11000.0,10000.0
Brad Pitt,Bernie Mac,11000.0,1000.0
Milla Jovovich,Logan Lerman,14000.0,8000.0
Steve Buscemi,Adam Sandler,12000.0,11000.0
Jeff Bennett,Teala Dunn,283.0,142.0
Caroline Dhavernas,Scott Thompson,544.0,183.0
Denzel Washington,Ryan Reynolds,18000.0,16000.0
Ioan Gruffudd,Eric Idle,2000.0,795.0
Matthew Broderick,Gabourey Sidibe,2000.0,906.0
Kate Winslet,Rufus Sewell,14000.0,3000.0
Will Smith,Jake Busey,10000.0,660.0
Meryl Streep,Hunter Parrish,11000.0,2000.0
Al Pacino,Matt Damon,14000.0,13000.0
Jon Favreau,Debra Messing,4000.0,650.0
Kate Winslet,Theo James,14000.0,5000.0
Bob Hoskins,Gabriel Thomson,5000.0,35.0
Dwayne Johnson,Rosario Dawson,12000.0,3000.0
F. Murray Abraham,Tom Noonan,670.0,442.0
Li Gong,Mako,879.0,691.0
Amber Stevens West,Zachery Ty Bryan,584.0,227.0
Jim Broadbent,Imelda Staunton,1000.0,579.0
Anthony Hopkins,Brad Pitt,12000.0,11000.0
Raymond Cruz,Rick Worthy,672.0,174.0
Roy Scheider,Ben Vereen,813.0,388.0
Julia Roberts,Nathan Lane,8000.0,886.0
Anna Kendrick,Kieran Culkin,10000.0,1000.0
Glenn Morshower,Tchéky Karyo,894.0,345.0
Larry Miller,Janet Jackson,611.0,592.0
Sarah Michelle Gellar,Linda Cardellini,4000.0,2000.0
Wood Harris,Jason Cope,409.0,107.0
Adam Sandler,Cameron Monaghan,11000.0,1000.0
Ted Danson,Hal Holbrook,875.0,826.0
Jack McBrayer,Sean Hayes,975.0,760.0
Kristen Stewart,Hayden Christensen,17000.0,4000.0
Seth MacFarlane,Iván Kamarás,3000.0,169.0
Robert Downey Jr.,Jake Gyllenhaal,21000.0,15000.0
Robert Duvall,Michael Rapaport,3000.0,975.0
Morgan Freeman,Steve Carell,11000.0,7000.0
Jason Statham,Sylvester Stallone,26000.0,13000.0
Tom Cruise,Kristin Scott Thomas,10000.0,1000.0
Jennifer Lawrence,Josh Hutcherson,34000.0,14000.0
Bradley Cooper,Mason Lee,14000.0,670.0
Michael Gough,Vincent Schiavelli,920.0,811.0
Bruce Willis,Steve Carell,13000.0,7000.0
Tia Carrere,Jason Scott Lee,1000.0,533.0
Steve Buscemi,Julia Roberts,12000.0,8000.0
Morgan Freeman,Jon Favreau,11000.0,4000.0
Bruce Willis,Anthony Hopkins,13000.0,12000.0
Adam Sandler,Steve Reevis,11000.0,437.0
Amy Poehler,Jesse McCartney,1000.0,1000.0
Steve Buscemi,Adam Sandler,12000.0,11000.0
Bill Murray,Dwayne Johnson,13000.0,12000.0
Keanu Reeves,Jon Favreau,18000.0,4000.0
Leonardo DiCaprio,Joseph Sikora,29000.0,223.0
Jon Favreau,Robert Duvall,4000.0,3000.0
Jim Broadbent,Drew Carey,1000.0,311.0
Nicolas Cage,CCH Pounder,12000.0,1000.0
Adam Sandler,Carmen Electra,11000.0,869.0
Tom Hanks,Jennifer Jason Leigh,15000.0,1000.0
Adam Sandler,Bailee Madison,11000.0,3000.0
Elden Henson,Royce Johnson,577.0,4.0
Steve Buscemi,Monica Potter,12000.0,878.0
Rosario Dawson,Ethan Embry,3000.0,982.0
Philip Seymour Hoffman,Natalie Portman,22000.0,20000.0
Denzel Washington,Mila Kunis,18000.0,15000.0
Robin Williams,Jodi Benson,49000.0,570.0
Liam Neeson,Lili Taylor,14000.0,960.0
Bill Murray,Wayne Knight,13000.0,967.0
Roger Rees,Henry Czerny,1000.0,177.0
Keanu Reeves,Jon Hamm,18000.0,4000.0
Julia Roberts,Alex McArthur,8000.0,137.0
Brad Pitt,Logan Lerman,11000.0,8000.0
Harrison Ford,Anne Heche,11000.0,643.0
Justin Timberlake,Tom Cavanagh,3000.0,642.0
Matt Damon,Charles Napier,13000.0,503.0
Rosario Dawson,Leslie Bibb,3000.0,1000.0
Gary Oldman,William Hurt,10000.0,882.0
Denzel Washington,Dorian Missick,18000.0,1000.0
Vanessa Redgrave,Stephen Dillane,898.0,577.0
Steve Buscemi,Adam Sandler,12000.0,11000.0
Elizabeth Montgomery,Agnes Moorehead,1000.0,960.0
Quincy Jones,Penn Jillette,340.0,243.0
Mark Addy,Alan Young,891.0,639.0
Charlize Theron,Mika Boorem,9000.0,496.0
Hugh Jackman,Don Cheadle,20000.0,3000.0
Michael Emerson,Nick Chinlund,2000.0,277.0
Robin Williams,Annabella Sciorra,49000.0,448.0
Adam Sandler,Jon Lovitz,11000.0,11000.0
Matt Damon,Heath Ledger,13000.0,13000.0
Natalie Portman,Martin Short,20000.0,770.0
Nissim Renard,Roxane Duran,23.0,21.0
Anthony Hopkins,Harold Perrineau,12000.0,1000.0
Bruce Willis,Devin Ratray,13000.0,1000.0
Bruce Greenwood,Jon Foster,981.0,274.0
Sylvester Stallone,Viggo Mortensen,13000.0,10000.0
Charlie Rowe,Tiya Sircar,882.0,396.0
Richard Tyson,Michael Byrne,743.0,117.0
Brendan Fraser,Jenna Elfman,3000.0,739.0
Fergie,Elio Germano,529.0,48.0
Paul Walker,Gerard Butler,23000.0,18000.0
Olivia Williams,Brian Anthony Wilson,766.0,674.0
Adam Goldberg,Elizabeth Daily,1000.0,971.0
Vin Diesel,Joseph Gilgun,14000.0,788.0
Bob Neill,Val Kilmer,2.0,0.0
Mia Farrow,Adam LeFevre,563.0,80.0
Pedro Armendáriz Jr.,Jacques Perrin,67.0,63.0
David Oyelowo,Catherine McCormack,1000.0,307.0
Sasha Roiz,Currie Graham,795.0,172.0
Sariann Monaco,David Hoffman,163.0,94.0
Adam Goldberg,Austin Pendleton,1000.0,592.0
Matthew Broderick,Nathan Lane,2000.0,886.0
Josh Hutcherson,Dwayne Johnson,14000.0,12000.0
Will Forte,Khamani Griffin,622.0,161.0
Philip Seymour Hoffman,Anthony Hopkins,22000.0,12000.0
J.K. Simmons,Viggo Mortensen,24000.0,10000.0
Al Pacino,Adam Sandler,14000.0,11000.0
Paul Walker,Cole Hauser,23000.0,787.0
Jeff Bridges,James Franco,12000.0,11000.0
Roger Rees,Veronica Cartwright,1000.0,422.0
Robert De Niro,Janeane Garofalo,22000.0,1000.0
Steve Coogan,Eric Stonestreet,1000.0,904.0
Jason Flemyng,Max Ryan,1000.0,872.0
Steve Carell,Miranda Cosgrove,7000.0,2000.0
Will Smith,Adam Baldwin,10000.0,2000.0
