director_name,director_facebook_likes
Neill Blomkamp,662.0
David Twohy,123.0
José Padilha,294.0
Lana Wachowski,0.0
James L. Brooks,274.0
James Mangold,446.0
Joseph Kosinski,364.0
George Lucas,0.0
George Lucas,0.0
Pete Docter,0.0
James Mangold,446.0
George Lucas,0.0
Kirk De Micco,16.0
Frédéric Forestier,0.0
John Woo,610.0
Cedric Nicolas-Troyan,19.0
Jonathan Liebesman,473.0
Alfonso Cuarón,0.0
Roger Donaldson,79.0
Dave Green,13.0
Josh Trank,128.0
Shawn Levy,189.0
Brad Peyton,62.0
Roger Spottiswoode,55.0
Roland Emmerich,776.0
Steven Soderbergh,0.0
Doug Liman,218.0
Robert Schwentke,124.0
Martin Scorsese,17000.0
Rob Letterman,11.0
Michel Gondry,1000.0
,
Noam Murro,263.0
Raja Gosnell,67.0
Will Finn,6.0
Robert Schwentke,124.0
Shawn Levy,189.0
Raja Gosnell,67.0
Jan de Bont,101.0
Gavin Hood,151.0
Len Wiseman,235.0
Peter Jackson,0.0
Frank Coraci,153.0
Michael Mann,0.0
Bo Welch,34.0
Alex Proyas,295.0
Ridley Scott,0.0
Rob Minkoff,50.0
Ron Clements,63.0
Ridley Scott,0.0
Christopher Barnard,0.0
Michael Bay,0.0
Peter Chelsom,23.0
Dominic Sena,57.0
Ridley Scott,0.0
Steven Spielberg,14000.0
Chris Columbus,0.0
Martin Campbell,258.0
Tim Burton,13000.0
James Cameron,0.0
Michael Mann,0.0
Ridley Scott,0.0
James Cameron,0.0
Tony Scott,12000.0
Paul Weitz,80.0
Adam McKay,285.0
Chuck Russell,55.0
Quentin Tarantino,16000.0
Gary Trousdale,21.0
Mark Dindal,10.0
Simon West,165.0
Jon Turteltaub,226.0
Stefen Fangmeier,14.0
Spike Jonze,0.0
Joe Wright,456.0
Chris Wedge,77.0
Florian Henckel von Donnersmarck,207.0
Peter Hyams,0.0
Edward Zwick,380.0
Martin Scorsese,17000.0
Joel Schumacher,541.0
Paul Verhoeven,719.0
Tom Tykwer,670.0
Zack Snyder,0.0
Pitof,26.0
Brett Ratner,420.0
Ron Clements,63.0
Brad Silberling,52.0
Patrick Hughes,385.0
Ericson Core,19.0
Lawrence Guterman,6.0
Ron Howard,2000.0
Ron Underwood,31.0
Paul Greengrass,521.0
Steve Martino,20.0
David Mamet,342.0
Stephen Sommers,208.0
Martin Scorsese,17000.0
Yimou Zhang,611.0
Ash Brannon,9.0
Frank Oz,0.0
Ridley Scott,0.0
Jay Roach,116.0
Luc Besson,0.0
Michael Patrick King,127.0
Bibo Bergeron,10.0
Steve Martino,20.0
Kenneth Branagh,0.0
Peter Jackson,0.0
Andrew Stanton,475.0
Peter Jackson,0.0
Peter Jackson,0.0
Sergey Bodrov,44.0
Simon West,165.0
Wally Pfister,0.0
Joe Johnston,394.0
Rupert Wyatt,81.0
Mark Waters,70.0
John Moore,212.0
John Lee Hancock,102.0
Brad Bird,663.0
Renny Harlin,212.0
Chris Columbus,0.0
Barry Sonnenfeld,188.0
John Lasseter,487.0
Tony Scott,12000.0
Brett Ratner,420.0
Robert Zemeckis,0.0
Phil Lord,97.0
Carlos Saldanha,107.0
Ben Stiller,0.0
McG,368.0
Martin Scorsese,17000.0
Tony Bancroft,7.0
Ben Stiller,0.0
David Fincher,21000.0
John McTiernan,323.0
Guy Ritchie,0.0
Timur Bekmambetov,335.0
Gary Trousdale,21.0
Walt Becker,12.0
Bryan Singer,0.0
Dennis Dugan,221.0
Chris Columbus,0.0
Steven Spielberg,14000.0
Rob Minkoff,50.0
Robert Zemeckis,0.0
Paul Verhoeven,719.0
Sydney Pollack,521.0
Thor Freudenthal,87.0
Jan de Bont,101.0
Jon M. Chu,209.0
Phillip Noyce,176.0
Tony Scott,12000.0
Brian De Palma,0.0
Carlos Saldanha,107.0
Chris Columbus,0.0
Mick Jackson,81.0
Alan J. Pakula,79.0
Kathryn Bigelow,0.0
Josh Trank,128.0
John Milius,468.0
Ron Howard,2000.0
Andrey Konchalovskiy,96.0
Gary Ross,378.0
Jan de Bont,101.0
Rob Cohen,357.0
Robert Zemeckis,0.0
George Miller,750.0
Paul Greengrass,521.0
Wolfgang Petersen,249.0
Steven Soderbergh,0.0
Paul W.S. Anderson,545.0
Genndy Tartakovsky,266.0
Kevin Lima,36.0
,
Daniel Espinosa,79.0
Kevin Lima,36.0
Brett Ratner,420.0
Nancy Meyers,278.0
Tony Scott,12000.0
Nancy Meyers,278.0
Steven Soderbergh,0.0
Roger Allers,28.0
Neil Burger,168.0
Jean-Jacques Annaud,218.0
Peter Berg,532.0
John McTiernan,323.0
Rob Marshall,252.0
Justin Lin,681.0
Sarah Smith,6.0
Martin Brest,102.0
Andrew Davis,99.0
Bob Fosse,189.0
Tarsem Singh,763.0
Edgar Wright,1000.0
Jon Amiel,36.0
Peter Segal,88.0
Raja Gosnell,67.0
Pete Travis,38.0
Frank Coraci,153.0
George A. Romero,0.0
Brad Peyton,62.0
Doug Liman,218.0
Guillermo del Toro,0.0
David Fincher,21000.0
Roger Spottiswoode,55.0
Tom Shadyac,293.0
Sylvester Stallone,13000.0
Brian De Palma,0.0
Gary Ross,378.0
Todd Phillips,480.0
Tim Burton,13000.0
Tim Johnson,12.0
Dean DeBlois,255.0
Gary Winick,56.0
Mimi Leder,75.0
Dean Parisot,23.0
Peter Segal,88.0
Mike Mitchell,31.0
Dennis Dugan,221.0
Peter Segal,88.0
Nancy Meyers,278.0
Martin Scorsese,17000.0
Seth Gordon,91.0
Chris Wedge,77.0
John Woo,610.0
Adam Shankman,163.0
Sam Mendes,0.0
Dennis Dugan,221.0
,
Simon West,165.0
D.J. Caruso,154.0
Anthony Minghella,333.0
Albert Hughes,117.0
Les Mayfield,10.0
Jan de Bont,101.0
Joe Pytka,30.0
Shawn Levy,189.0
Scott Derrickson,301.0
Richard Donner,503.0
David Ayer,452.0
Ivan Reitman,425.0
Eric Brevig,40.0
Kelly Asbury,21.0
Frank Coraci,153.0
Stephen Hopkins,81.0
Jonathan Demme,438.0
Henry Jaglom,69.0
Genndy Tartakovsky,266.0
,
James Algar,11.0
Simon Wells,25.0
Ron Underwood,31.0
Dominic Sena,57.0
Martin Campbell,258.0
Vincent Ward,25.0
Steven Brill,65.0
Terry Gilliam,0.0
Tim Burton,13000.0
Lucile Hadzihalilovic,92.0
Lee Tamahori,93.0
Jonathan Mostow,84.0
Roger Donaldson,79.0
Rob Cohen,357.0
Barry Cook,43.0
Roger Christian,64.0
Joe Dante,287.0
Rob Marshall,252.0
Richard Donner,503.0
Kevin Costner,0.0
George Miller,750.0
Breck Eisner,42.0
Antony Hoffman,14.0
Luc Besson,0.0
Jacques Perrin,63.0
Peter Hyams,0.0
Paul W.S. Anderson,545.0
Andrés Couturier,0.0
Ron Howard,2000.0
Roger Allers,28.0
Brad Peyton,62.0
Cody Cameron,18.0
Brett Ratner,420.0
Joe Johnston,394.0
Dennis Dugan,221.0
John Singleton,309.0
Mark Osborne,54.0
Oliver Hirschbiegel,101.0
Des McAnuff,5.0
Yarrow Cheney,11.0
Stephen Norrington,45.0
Pierre Coffin,275.0
Roland Emmerich,776.0
Steven Spielberg,14000.0
Eric Darnell,35.0
Alfonso Cuarón,0.0
Bryan Singer,0.0
Timur Bekmambetov,335.0
Michael Bay,0.0
Carlos Saldanha,107.0
Peter Segal,88.0
Adam Shankman,163.0
Renny Harlin,212.0
David Kellogg,16.0
Louis Leterrier,255.0
Dennis Dugan,221.0
Steven Spielberg,14000.0
,
Thor Freudenthal,87.0
Martin Campbell,258.0
Mike Nichols,0.0
Bibo Bergeron,10.0
Bill Condon,386.0
,
F. Gary Gray,473.0
Steven Spielberg,14000.0
Antoine Fuqua,845.0
Robert Luketic,126.0
Guy Ritchie,0.0
James L. Brooks,274.0
Gil Kenan,27.0
Barry Levinson,272.0
Jerry Zucker,109.0
Andy Tennant,72.0
Tarsem Singh,763.0
Florent-Emilio Siri,17.0
Don Bluth,383.0
Ron Shelton,41.0
Paul W.S. Anderson,545.0
David Pastor,10.0
Henry Selick,253.0
John Moore,212.0
M. Night Shyamalan,0.0
Kyle Balda,22.0
Zack Snyder,0.0
Brian De Palma,0.0
Barry Levinson,272.0
Clay Kaytis,6.0
Andy Tennant,72.0
Judd Apatow,0.0
Peter Berg,532.0
Adam McKay,285.0
Steve Carr,41.0
Mel Gibson,0.0
Sam Mendes,0.0
David Silverman,30.0
Frank Darabont,0.0
Renny Harlin,212.0
Jean-Jacques Annaud,218.0
M. Night Shyamalan,0.0
Betty Thomas,84.0
M. Night Shyamalan,0.0
Andrew Adamson,80.0
John Lasseter,487.0
Garry Marshall,0.0
Rob Cohen,357.0
Paul Tibbitt,5.0
Ron Howard,2000.0
Quentin Tarantino,16000.0
Steven Spielberg,14000.0
Brett Ratner,420.0
Renny Harlin,212.0
Clark Johnson,69.0
,
Cameron Crowe,488.0
M. Night Shyamalan,0.0
Paul W.S. Anderson,545.0
Betty Thomas,84.0
Randall Wallace,130.0
Antoine Fuqua,845.0
Jonathan Frakes,906.0
Jonathan Liebesman,473.0
Tim Burton,13000.0
Mike Nichols,0.0
Steven Spielberg,14000.0
George Clooney,0.0
James Cameron,0.0
Oliver Stone,0.0
Gary Shore,28.0
Edward Zwick,380.0
Matthew Vaughn,905.0
Jean-Jacques Annaud,218.0
Ron Howard,2000.0
Joel Schumacher,541.0
Andrzej Bartkowiak,43.0
Betty Thomas,84.0
Måns Mårlind,24.0
Adam Shankman,163.0
Gregory Hoblit,40.0
Gary McKendry,5.0
John McTiernan,323.0
Wych Kaosayananda,8.0
Mikael Salomon,13.0
Bobby Farrelly,101.0
Will Finn,6.0
Michael Mann,0.0
Kerry Conran,14.0
Michael Caton-Jones,105.0
Mikael Håfström,101.0
Renny Harlin,212.0
Phil Alden Robinson,31.0
David Slade,171.0
Frank Oz,0.0
Pierre Coffin,275.0
Joseph Ruben,29.0
Seth MacFarlane,3000.0
Alejandro Amenábar,448.0
Kinka Usher,18.0
Bobby Farrelly,101.0
Michael Mann,0.0
Craig Gillespie,44.0
Ridley Scott,0.0
Jay Roach,116.0
Timur Bekmambetov,335.0
Jon Amiel,36.0
,
Rob Bowman,38.0
Doug Lefler,4.0
Steven Spielberg,14000.0
Scott Waugh,76.0
Nancy Meyers,278.0
Chris Wedge,77.0
Lawrence Kasdan,759.0
Steven Spielberg,14000.0
Lana Wachowski,0.0
Ron Howard,2000.0
Paul Verhoeven,719.0
Michael Lembeck,54.0
Tom Hooper,0.0
Nora Ephron,0.0
Adam McKay,285.0
Martin Campbell,258.0
Todd Phillips,480.0
Angelina Jolie Pitt,11000.0
Clint Eastwood,16000.0
Renny Harlin,212.0
John Woo,610.0
Jon Turteltaub,226.0
Oliver Stone,0.0
Mike Newell,179.0
Larry Charles,119.0
Stanley Kubrick,0.0
Will Gluck,87.0
Glenn Ficarra,43.0
McG,368.0
David S. Goyer,687.0
John Milius,468.0
Mike Nichols,0.0
Paul W.S. Anderson,545.0
Paul W.S. Anderson,545.0
Renny Harlin,212.0
Taylor Hackford,138.0
Jon Favreau,4000.0
David Fincher,21000.0
McG,368.0
,
Michael Lehmann,36.0
Nora Ephron,0.0
Stuart Beattie,72.0
Roman Polanski,2000.0
Rob Bowman,38.0
Frank Miller,436.0
Sydney Pollack,521.0
Baltasar Kormákur,175.0
Tom Tykwer,670.0
Jay Roach,116.0
David Bowers,42.0
Steven Spielberg,14000.0
Lawrence Kasdan,759.0
Phillip Noyce,176.0
Daniel Lee,10.0
Keenen Ivory Wayans,322.0
Jonathan Mostow,84.0
Rob Reiner,0.0
Marco Schnabel,12.0
Demian Lichtenstein,11.0
Quentin Tarantino,16000.0
Josh Gordon,8.0
Tim Hill,25.0
Zack Snyder,0.0
Jay Roach,116.0
David Frankel,64.0
Frank Darabont,0.0
Walt Becker,12.0
Mark Dindal,10.0
David Fincher,21000.0
Doug Liman,218.0
Martin Campbell,258.0
Simon West,165.0
Peter Weir,608.0
Brenda Chapman,59.0
Steve Carr,41.0
Baltasar Kormákur,175.0
Lawrence Guterman,6.0
F. Gary Gray,473.0
Marc Lawrence,30.0
Eric Darnell,35.0
Peter Billingsley,0.0
Tony Scott,12000.0
Adam Shankman,163.0
Wes Ball,47.0
Ryan Murphy,708.0
Brett Ratner,420.0
Robert Schwentke,124.0
Oliver Stone,0.0
Robert Redford,0.0
Michael Mann,0.0
Chuck Russell,55.0
Jay Russell,13.0
Christopher McQuarrie,188.0
Renny Harlin,212.0
Kenny Ortega,197.0
Steven Soderbergh,0.0
David McNally,18.0
Henry Selick,253.0
M. Night Shyamalan,0.0
Tony Scott,12000.0
Brian Robbins,48.0
Todd Phillips,480.0
Brian Levant,32.0
Guillermo del Toro,0.0
Steven Zaillian,234.0
Chris Butler,28.0
Michael Caton-Jones,105.0
John Woo,610.0
Jon Avnet,50.0
Sam Fell,18.0
,
Kevin Donovan,11.0
Geoff Murphy,14.0
Kenneth Branagh,0.0
David O. Russell,737.0
Babak Najafi,24.0
Jean-Pierre Jeunet,0.0
Antoine Fuqua,845.0
Graham Annable,7.0
Griffin Dunne,165.0
Phil Lord,97.0
John Pasquin,11.0
Rob Bowman,38.0
Ruben Fleischer,181.0
Harold Ramis,11000.0
Clint Eastwood,16000.0
Kevin Macdonald,162.0
Tony Gilroy,209.0
Donald Petrie,80.0
Clark Johnson,69.0
Jorge Blanco,2.0
Stuart Baird,53.0
Joel Coen,0.0
Robert Lorenz,39.0
Martin Campbell,258.0
Peter Hyams,0.0
Harold Ramis,11000.0
Jon Avnet,50.0
Harold Becker,17.0
Joe Wright,456.0
Robert Redford,0.0
Cameron Crowe,488.0
Tim Hill,25.0
Lee Tamahori,93.0
Scott Stewart,124.0
Patrick Gilmore,0.0
Paul W.S. Anderson,545.0
Joss Whedon,0.0
Tom Shadyac,293.0
Brian De Palma,0.0
Tony Bill,23.0
Rod Lurie,37.0
Walter Hill,394.0
Akiva Goldsman,167.0
Harald Zwart,91.0
Brian Robbins,48.0
Walter Salles,179.0
Ron Howard,2000.0
Iain Softley,34.0
Frank Miller,436.0
David Koepp,192.0
Uwe Boll,892.0
Martin Campbell,258.0
Pou-Soi Cheang,3.0
John Dahl,131.0
Tim Miller,84.0
Stephen Herek,65.0
Clint Eastwood,16000.0
Rob Letterman,11.0
,
Mark Waters,70.0
Brian Levant,32.0
Peter MacDonald,10.0
George Clooney,0.0
Frank Coraci,153.0
Marc Lawrence,30.0
Shawn Levy,189.0
Paul W.S. Anderson,545.0
Anthony Hemingway,143.0
,
Taylor Hackford,138.0
Sean Anders,51.0
Rob Cohen,357.0
Brett Ratner,420.0
Mark Neveldine,83.0
John Madden,108.0
,
Adam Shankman,163.0
Kevin Bray,10.0
Robert Zemeckis,0.0
Tim Hill,25.0
Jay Roach,116.0
Mike Gabriel,12.0
Richard Donner,503.0
Tom Shadyac,293.0
Andy Tennant,72.0
Sam Weisman,39.0
Jesse Dylan,58.0
Paul Greengrass,521.0
Shawn Levy,189.0
Brad Silberling,52.0
Antoine Fuqua,845.0
Wayne Wang,61.0
Tony Scott,12000.0
Gabriele Muccino,125.0
Robert Schwentke,124.0
Barry Levinson,272.0
Brad Silberling,52.0
Quentin Tarantino,16000.0
Frank Oz,0.0
,
Quentin Tarantino,16000.0
Andrey Konchalovskiy,96.0
Robert Zemeckis,0.0
Tom Dey,9.0
Stuart Baird,53.0
Mark Waters,70.0
Rob Minkoff,50.0
Jimmy Hayward,39.0
David Fincher,21000.0
Alan Parker,317.0
John Frankenheimer,287.0
Stephen Hopkins,81.0
Paul King,17.0
Akiva Schaffer,82.0
William Friedkin,607.0
Jon Turteltaub,226.0
Bobby Farrelly,101.0
Kent Alterman,3.0
Peter Lord,91.0
Clint Eastwood,16000.0
Andrew Davis,99.0
Tony Scott,12000.0
Joel Schumacher,541.0
Shekhar Kapur,159.0
Karyn Kusama,45.0
Ron Maxwell,33.0
Robert Butler,0.0
Karey Kirkpatrick,11.0
James Bobin,33.0
Jonathan Frakes,906.0
Steve Antin,59.0
Jean-Pierre Jeunet,0.0
Stanley Kubrick,0.0
Jim Gillespie,13.0
Guillermo del Toro,0.0
Gabriele Muccino,125.0
Walter Hill,394.0
Francis Ford Coppola,0.0
Cameron Crowe,488.0
Anthony Russo,94.0
Richard Lester,44.0
Martin Brest,102.0
Steven Zaillian,234.0
John Singleton,309.0
Don Bluth,383.0
Baz Luhrmann,1000.0
Harold Becker,17.0
Scott Cooper,108.0
Clint Eastwood,16000.0
F. Gary Gray,473.0
Robert Rodriguez,0.0
Jonathan Demme,438.0
Curtis Hanson,161.0
Steven Spielberg,14000.0
Kathryn Bigelow,0.0
Peyton Reed,235.0
Phyllida Lloyd,58.0
Garry Marshall,0.0
Jay Chandrasekhar,422.0
Terrence Malick,0.0
David Dobkin,71.0
Milos Forman,869.0
Martin Scorsese,17000.0
Pierre Morel,180.0
Paul Hunter,13.0
Bobby Farrelly,101.0
Steve Oedekerk,176.0
John Whitesell,14.0
Chris Weitz,129.0
Andrew Adamson,80.0
George Nolfi,53.0
Kevin Reynolds,58.0
Cameron Crowe,488.0
Seth MacFarlane,3000.0
James L. Brooks,274.0
Tom Shadyac,293.0
Adam McKay,285.0
Steven Brill,65.0
J.J. Abrams,14000.0
Steven Soderbergh,0.0
Donald Petrie,80.0
Phil Lord,97.0
Neil Jordan,277.0
Peyton Reed,235.0
Rawson Marshall Thurber,43.0
Chris Columbus,0.0
Sean Anders,51.0
Rob Marshall,252.0
Spike Lee,0.0
Brian Helgeland,241.0
Frank Marshall,155.0
Cameron Crowe,488.0
Alex Proyas,295.0
Tom Dey,9.0
Hideo Nakata,62.0
Glenn Ficarra,43.0
Peter Hewitt,12.0
Joe Roth,148.0
Bennett Miller,152.0
Wolfgang Petersen,249.0
Jaume Collet-Serra,174.0
Andy Fickman,99.0
James McTeigue,160.0
David Dobkin,71.0
,
Matthew O'Callaghan,5.0
Angela Robinson,23.0
Gary Fleder,39.0
Tommy Wirkola,75.0
Adrian Lyne,213.0
D.J. Caruso,154.0
Stephen Gaghan,79.0
Michael Bay,0.0
Jorge R. Gutiérrez,34.0
Richard Loncraine,12.0
Clint Eastwood,16000.0
Ridley Scott,0.0
David Fincher,21000.0
Christophe Gans,50.0
Howard Deutch,41.0
Jon Hurwitz,22.0
F. Gary Gray,473.0
Steven Quale,77.0
John Landis,644.0
Joe Dante,287.0
David Dobkin,71.0
Mimi Leder,75.0
Alexander Witt,38.0
Beeban Kidron,17.0
Carl Franklin,73.0
Steven Seagal,0.0
Robert Rodriguez,0.0
Danny Boyle,0.0
Garry Marshall,0.0
James McTeigue,160.0
Sam Raimi,0.0
,
Andrew Bergman,31.0
Tom Dey,9.0
Clint Eastwood,16000.0
Barbet Schroeder,58.0
Richard Donner,503.0
Peter Webber,73.0
Rob Reiner,0.0
Andrew Niccol,487.0
John McTiernan,323.0
Clint Eastwood,16000.0
Tom Tykwer,670.0
John Carpenter,0.0
,
Brad Bird,663.0
Wes Anderson,0.0
Gary Ross,378.0
Alan Parker,317.0
Stephen Herek,65.0
Jaume Collet-Serra,174.0
David Cronenberg,0.0
John Stockwell,134.0
Luc Besson,0.0
David Gordon Green,234.0
Jim Sheridan,260.0
Costa-Gavras,333.0
Patrick Read Johnson,32.0
Roland Joffé,596.0
Doug Liman,218.0
,
Tony Scott,12000.0
William Friedkin,607.0
Mark Neveldine,83.0
Richard LaGravenese,98.0
Danny DeVito,0.0
Ben Stiller,0.0
George Armitage,5.0
Mike Nichols,0.0
Patrick Lussier,71.0
Andrzej Bartkowiak,43.0
James Wong,70.0
,
Renny Harlin,212.0
Richard Curtis,628.0
Steven Soderbergh,0.0
Steven Spielberg,14000.0
Joe Wright,456.0
Neill Blomkamp,662.0
Phillip Noyce,176.0
David Fincher,21000.0
Chuck Bowman,42.0
David O. Russell,737.0
Daniel Espinosa,79.0
Jerry Zucker,109.0
Iain Softley,34.0
James Mangold,446.0
Harold Ramis,11000.0
Francis Ford Coppola,0.0
James Mangold,446.0
Olivier Megaton,118.0
Steven Soderbergh,0.0
Ben Stiller,0.0
Deepa Mehta,375.0
Warren Beatty,631.0
John McTiernan,323.0
Penny Marshall,545.0
Ted Kotcheff,270.0
Andrei Tarkovsky,0.0
Paul Bolger,0.0
Stephen Frears,350.0
P.J. Hogan,29.0
Joe Roth,148.0
Christopher Nolan,22000.0
Jonathan Frakes,906.0
Jimmy Hayward,39.0
Edward Zwick,380.0
Tom Shadyac,293.0
Brad Furman,65.0
Terence Young,92.0
Brian Levant,32.0
Olivier Megaton,118.0
David Zucker,119.0
Donald Petrie,80.0
Eric Brevig,40.0
Garry Marshall,0.0
Alan J. Pakula,79.0
Joel Schumacher,541.0
Rob Reiner,0.0
Phillip Noyce,176.0
Robert Luketic,126.0
Denis Villeneuve,777.0
Antoine Fuqua,845.0
Dean Parisot,23.0
Keenen Ivory Wayans,322.0
James Bobin,33.0
Stephen Norrington,45.0
Thomas Carter,49.0
Roger Michell,50.0
Luis Llosa,49.0
David McNally,18.0
Richard Curtis,628.0
John Lasseter,487.0
Albert Hughes,117.0
Luis Llosa,49.0
Ron Shelton,41.0
Melville Shavelson,5.0
Jesse Dylan,58.0
Garth Jennings,37.0
Joel Zwick,38.0
Russell Mulcahy,85.0
Frank Coraci,153.0
Wayne Wang,61.0
Curtis Hanson,161.0
Frank Oz,0.0
Oliver Stone,0.0
David R. Ellis,160.0
Peter Howitt,29.0
John A. Davis,8.0
David Lynch,0.0
Julie Taymor,278.0
Sam Mendes,0.0
Richard Donner,503.0
Mathieu Kassovitz,326.0
John Gray,29.0
Harold Ramis,11000.0
John Schultz,13.0
Sean Penn,0.0
Susan Stroman,38.0
Pete Travis,38.0
Simon Wincer,23.0
Billy Bob Thornton,0.0
Oliver Stone,0.0
Roman Polanski,2000.0
Stephen Sommers,208.0
Spike Lee,0.0
Yimou Zhang,611.0
Danny Pang,15.0
Barry Sonnenfeld,188.0
Mike Newell,179.0
,
George P. Cosmatos,170.0
Oliver Parker,32.0
Lawrence Kasanoff,11.0
Ben Affleck,0.0
Andrew Davis,99.0
Andy Tennant,72.0
Barry Levinson,272.0
George P. Cosmatos,170.0
Brian Gibson,13.0
